reporter_country,worst_outcome,count,total,pct
AE,Death,90,728,12.36
AE,Disability,10,728,1.37
AE,Hospitalization,227,728,31.18
AE,Life-Threatening,45,728,6.18
AE,No Outcome Reported,52,728,7.14
AE,Other Serious,304,728,41.76
AR,Congenital Anomaly,1,3333,0.03
AR,Death,333,3333,9.99
AR,Disability,10,3333,0.3
AR,Hospitalization,900,3333,27.0
AR,Life-Threatening,67,3333,2.01
AR,No Outcome Reported,613,3333,18.39
AR,Other Serious,1406,3333,42.18
AR,Required Intervention,3,3333,0.09
AT,Congenital Anomaly,17,1410,1.21
AT,Death,178,1410,12.62
AT,Disability,9,1410,0.64
AT,Hospitalization,365,1410,25.89
AT,Life-Threatening,51,1410,3.62
AT,No Outcome Reported,98,1410,6.95
AT,Other Serious,691,1410,49.01
AT,Required Intervention,1,1410,0.07
AU,Congenital Anomaly,55,12675,0.43
AU,Death,1453,12675,11.46
AU,Disability,66,12675,0.52
AU,Hospitalization,2762,12675,21.79
AU,Life-Threatening,450,12675,3.55
AU,No Outcome Reported,904,12675,7.13
AU,Other Serious,6979,12675,55.06
AU,Required Intervention,6,12675,0.05
BE,Congenital Anomaly,2,1705,0.12
BE,Death,224,1705,13.14
BE,Disability,42,1705,2.46
BE,Hospitalization,427,1705,25.04
BE,Life-Threatening,75,1705,4.4
BE,No Outcome Reported,66,1705,3.87
BE,Other Serious,869,1705,50.97
BG,Death,99,564,17.55
BG,Disability,1,564,0.18
BG,Hospitalization,225,564,39.89
BG,Life-Threatening,33,564,5.85
BG,No Outcome Reported,14,564,2.48
BG,Other Serious,192,564,34.04
BR,Congenital Anomaly,14,10197,0.14
BR,Death,963,10197,9.44
BR,Disability,157,10197,1.54
BR,Hospitalization,2546,10197,24.97
BR,Life-Threatening,320,10197,3.14
BR,No Outcome Reported,891,10197,8.74
BR,Other Serious,5292,10197,51.9
BR,Required Intervention,14,10197,0.14
BY,Death,40,110,36.36
BY,Hospitalization,16,110,14.55
BY,Life-Threatening,16,110,14.55
BY,Other Serious,38,110,34.55
CA,Congenital Anomaly,291,87205,0.33
CA,Death,11562,87205,13.26
CA,Disability,754,87205,0.86
CA,Hospitalization,22777,87205,26.12
CA,Life-Threatening,3226,87205,3.7
CA,No Outcome Reported,3506,87205,4.02
CA,Other Serious,45074,87205,51.69
CA,Required Intervention,15,87205,0.02
CH,Congenital Anomaly,18,3675,0.49
CH,Death,387,3675,10.53
CH,Disability,32,3675,0.87
CH,Hospitalization,1168,3675,31.78
CH,Life-Threatening,221,3675,6.01
CH,No Outcome Reported,280,3675,7.62
CH,Other Serious,1568,3675,42.67
CH,Required Intervention,1,3675,0.03
CL,Congenital Anomaly,5,1502,0.33
CL,Death,146,1502,9.72
CL,Disability,21,1502,1.4
CL,Hospitalization,330,1502,21.97
CL,Life-Threatening,44,1502,2.93
CL,No Outcome Reported,400,1502,26.63
CL,Other Serious,554,1502,36.88
CL,Required Intervention,2,1502,0.13
CN,Congenital Anomaly,18,33964,0.05
CN,Death,2292,33964,6.75
CN,Disability,390,33964,1.15
CN,Hospitalization,12396,33964,36.5
CN,Life-Threatening,2467,33964,7.26
CN,No Outcome Reported,837,33964,2.46
CN,Other Serious,15559,33964,45.81
CN,Required Intervention,5,33964,0.01
CO,Death,870,7619,11.42
CO,Disability,65,7619,0.85
CO,Hospitalization,2657,7619,34.87
CO,Life-Threatening,192,7619,2.52
CO,No Outcome Reported,1817,7619,23.85
CO,Other Serious,2010,7619,26.38
CO,Required Intervention,8,7619,0.11
COUNTRY NOT SPECIFIED,Congenital Anomaly,15,2399,0.63
COUNTRY NOT SPECIFIED,Death,306,2399,12.76
COUNTRY NOT SPECIFIED,Disability,45,2399,1.88
COUNTRY NOT SPECIFIED,Hospitalization,847,2399,35.31
COUNTRY NOT SPECIFIED,Life-Threatening,199,2399,8.3
COUNTRY NOT SPECIFIED,No Outcome Reported,119,2399,4.96
COUNTRY NOT SPECIFIED,Other Serious,865,2399,36.06
COUNTRY NOT SPECIFIED,Required Intervention,3,2399,0.13
CR,Death,39,286,13.64
CR,Disability,14,286,4.9
CR,Hospitalization,54,286,18.88
CR,Life-Threatening,17,286,5.94
CR,No Outcome Reported,38,286,13.29
CR,Other Serious,123,286,43.01
CR,Required Intervention,1,286,0.35
CZ,Congenital Anomaly,8,1040,0.77
CZ,Death,104,1040,10.0
CZ,Disability,3,1040,0.29
CZ,Hospitalization,254,1040,24.42
CZ,Life-Threatening,111,1040,10.67
CZ,No Outcome Reported,38,1040,3.65
CZ,Other Serious,522,1040,50.19
DE,Congenital Anomaly,244,12550,1.94
DE,Death,1235,12550,9.84
DE,Disability,106,12550,0.84
DE,Hospitalization,4012,12550,31.97
DE,Life-Threatening,710,12550,5.66
DE,No Outcome Reported,1035,12550,8.25
DE,Other Serious,5207,12550,41.49
DE,Required Intervention,1,12550,0.01
DK,Congenital Anomaly,17,732,2.32
DK,Death,88,732,12.02
DK,Disability,27,732,3.69
DK,Hospitalization,217,732,29.64
DK,Life-Threatening,44,732,6.01
DK,No Outcome Reported,22,732,3.01
DK,Other Serious,317,732,43.31
DO,Death,54,221,24.43
DO,Disability,4,221,1.81
DO,Hospitalization,29,221,13.12
DO,Life-Threatening,3,221,1.36
DO,No Outcome Reported,84,221,38.01
DO,Other Serious,46,221,20.81
DO,Required Intervention,1,221,0.45
DZ,Death,53,166,31.93
DZ,Disability,1,166,0.6
DZ,Hospitalization,29,166,17.47
DZ,Life-Threatening,7,166,4.22
DZ,No Outcome Reported,3,166,1.81
DZ,Other Serious,73,166,43.98
