drugname,total_reports,death_rate_pct,outcome,report_count
DUPIXENT,125677.0,0.38,Congenital Anomaly,7.0
VEDOLIZUMAB,48278.0,1.29,Congenital Anomaly,6.0
ZEPBOUND,30098.0,0.17,Congenital Anomaly,2.0
MOUNJARO,27901.0,1.0,Congenital Anomaly,15.0
SKYRIZI,19963.0,3.63,Congenital Anomaly,12.0
RINVOQ,15046.0,4.11,Congenital Anomaly,3.0
OZEMPIC,14766.0,1.32,Congenital Anomaly,3.0
REVLIMID,13432.0,5.59,Congenital Anomaly,1.0
HUMIRA,11402.0,6.37,Congenital Anomaly,10.0
LENALIDOMIDE,10962.0,7.48,Congenital Anomaly,3.0
GENOTROPIN,10000.0,0.21,Congenital Anomaly,1.0
HUMAN IMMUNOGLOBULIN G,9696.0,6.1,Congenital Anomaly,6.0
RITUXIMAB,8373.0,16.31,Congenital Anomaly,34.0
ORENCIA,8264.0,4.5,Congenital Anomaly,91.0
DAPAGLIFLOZIN,8019.0,38.38,Congenital Anomaly,1.0
CIMZIA,7893.0,2.53,Congenital Anomaly,15.0
ACETAMINOPHEN,7539.0,23.89,Congenital Anomaly,59.0
ALBUTEROL SULFATE,7409.0,0.2,Congenital Anomaly,1.0
METHOTREXATE,7236.0,10.95,Congenital Anomaly,18.0
ELIQUIS,6716.0,14.55,Congenital Anomaly,3.0
PREDNISONE,6660.0,14.35,Congenital Anomaly,11.0
SPRAVATO,6469.0,2.41,Congenital Anomaly,1.0
COSENTYX,6172.0,7.29,Congenital Anomaly,11.0
JAKAFI,6171.0,7.08,Congenital Anomaly,1.0
MYCOPHENOLATE MOFETIL,5676.0,14.62,Congenital Anomaly,2.0
CARBOPLATIN,5619.0,12.01,Congenital Anomaly,3.0
TISLELIZUMAB,5583.0,0.52,Congenital Anomaly,2.0
NUCALA,5563.0,2.12,Congenital Anomaly,7.0
ADALIMUMAB,5417.0,12.04,Congenital Anomaly,25.0
WEGOVY,5276.0,0.66,Congenital Anomaly,4.0
XELJANZ XR,5243.0,1.64,Congenital Anomaly,2.0
TACROLIMUS,5147.0,12.98,Congenital Anomaly,10.0
XOLAIR,5086.0,0.92,Congenital Anomaly,1.0
TYLENOL,4981.0,0.92,Congenital Anomaly,5.0
INFLIXIMAB,4638.0,4.05,Congenital Anomaly,13.0
OCREVUS,4572.0,2.01,Congenital Anomaly,9.0
BENLYSTA,4541.0,0.7,Congenital Anomaly,1.0
FINASTERIDE,4420.0,2.17,Congenital Anomaly,1.0
