drugname,Congenital Anomaly,Death,Disability,Hospitalization,Life-Threatening,No Outcome Reported,Other Serious,Required Intervention,total_reports,death_count,death_rate_pct
DUPIXENT,7.0,475.0,138.0,4822.0,85.0,114206.0,5914.0,30.0,125677.0,475.0,0.38
VEDOLIZUMAB,6.0,624.0,160.0,12583.0,167.0,632.0,34106.0,0.0,48278.0,624.0,1.29
ZEPBOUND,2.0,51.0,45.0,596.0,42.0,28406.0,930.0,26.0,30098.0,51.0,0.17
MOUNJARO,15.0,278.0,286.0,2577.0,500.0,18768.0,5463.0,14.0,27901.0,278.0,1.0
SKYRIZI,12.0,725.0,75.0,5466.0,52.0,3321.0,10287.0,25.0,19963.0,725.0,3.63
RINVOQ,3.0,618.0,66.0,4387.0,104.0,2229.0,7616.0,23.0,15046.0,618.0,4.11
ORGOVYX,0.0,422.0,5.0,1370.0,7.0,11338.0,1671.0,0.0,14813.0,422.0,2.85
OZEMPIC,3.0,195.0,210.0,2903.0,223.0,6904.0,4313.0,15.0,14766.0,195.0,1.32
REVLIMID,1.0,751.0,11.0,1836.0,83.0,8049.0,2696.0,5.0,13432.0,751.0,5.59
HUMIRA,10.0,726.0,85.0,2473.0,58.0,4036.0,3980.0,34.0,11402.0,726.0,6.37
LENALIDOMIDE,3.0,820.0,19.0,2531.0,212.0,4594.0,2700.0,83.0,10962.0,820.0,7.48
NUPLAZID,0.0,2034.0,11.0,1123.0,10.0,4378.0,3026.0,0.0,10582.0,2034.0,19.22
BIMZELX,0.0,41.0,11.0,433.0,13.0,8425.0,1300.0,2.0,10225.0,41.0,0.4
GENOTROPIN,1.0,21.0,1.0,87.0,7.0,9639.0,242.0,2.0,10000.0,21.0,0.21
HUMAN IMMUNOGLOBULIN G,6.0,591.0,18.0,3999.0,88.0,439.0,4555.0,0.0,9696.0,591.0,6.1
POMALYST,0.0,630.0,5.0,1584.0,42.0,4504.0,1689.0,10.0,8464.0,630.0,7.44
RITUXIMAB,34.0,1366.0,39.0,1856.0,437.0,354.0,4285.0,2.0,8373.0,1366.0,16.31
ORENCIA,91.0,372.0,23.0,463.0,318.0,5991.0,1000.0,6.0,8264.0,372.0,4.5
DAPAGLIFLOZIN,1.0,3078.0,113.0,1436.0,242.0,61.0,3080.0,8.0,8019.0,3078.0,38.38
CIMZIA,15.0,200.0,11.0,394.0,34.0,4658.0,2580.0,1.0,7893.0,200.0,2.53
KEYTRUDA,0.0,1489.0,53.0,2113.0,364.0,825.0,2826.0,5.0,7675.0,1489.0,19.4
ACETAMINOPHEN,59.0,1801.0,11.0,2478.0,759.0,833.0,1597.0,1.0,7539.0,1801.0,23.89
ALBUTEROL SULFATE,1.0,15.0,1.0,132.0,15.0,7033.0,210.0,2.0,7409.0,15.0,0.2
TEDUGLUTIDE,0.0,466.0,52.0,5121.0,117.0,409.0,1180.0,1.0,7346.0,466.0,6.34
METHOTREXATE,18.0,792.0,78.0,2099.0,523.0,293.0,3431.0,2.0,7236.0,792.0,10.95
NEMLUVIO,0.0,49.0,3.0,164.0,1.0,6590.0,138.0,1.0,6946.0,49.0,0.71
REPATHA,0.0,183.0,69.0,592.0,34.0,4785.0,1227.0,13.0,6903.0,183.0,2.65
ELIQUIS,3.0,977.0,48.0,1041.0,137.0,2987.0,1521.0,2.0,6716.0,977.0,14.55
PREDNISONE,11.0,956.0,16.0,1780.0,357.0,445.0,3094.0,1.0,6660.0,956.0,14.35
TYVASO DPI,0.0,189.0,3.0,1292.0,57.0,4259.0,698.0,0.0,6498.0,189.0,2.91
SPRAVATO,1.0,156.0,22.0,782.0,68.0,1299.0,4139.0,2.0,6469.0,156.0,2.41
LANTUS SOLOSTAR,0.0,11.0,21.0,111.0,1.0,5960.0,304.0,0.0,6408.0,11.0,0.17
CORTICOTROPIN,0.0,105.0,5.0,643.0,4.0,3988.0,1613.0,0.0,6358.0,105.0,1.65
TYMLOS,0.0,79.0,8.0,483.0,6.0,4754.0,950.0,7.0,6287.0,79.0,1.26
COSENTYX,11.0,450.0,63.0,803.0,122.0,2986.0,1726.0,11.0,6172.0,450.0,7.29
JAKAFI,1.0,437.0,11.0,844.0,14.0,3783.0,1077.0,4.0,6171.0,437.0,7.08
REMODULIN,0.0,277.0,0.0,1848.0,89.0,3160.0,582.0,8.0,5964.0,277.0,4.64
ELIGARD,0.0,833.0,3.0,311.0,4.0,4198.0,495.0,0.0,5844.0,833.0,14.25
TREMFYA,0.0,71.0,4.0,339.0,19.0,4183.0,1056.0,9.0,5681.0,71.0,1.25
MYCOPHENOLATE MOFETIL,2.0,830.0,12.0,1442.0,463.0,468.0,2457.0,2.0,5676.0,830.0,14.62
CARBOPLATIN,3.0,675.0,41.0,1915.0,558.0,118.0,2303.0,6.0,5619.0,675.0,12.01
TISLELIZUMAB,2.0,29.0,118.0,2669.0,243.0,0.0,2522.0,0.0,5583.0,29.0,0.52
NUCALA,7.0,118.0,13.0,487.0,26.0,4449.0,423.0,40.0,5563.0,118.0,2.12
ADALIMUMAB,25.0,652.0,73.0,1122.0,180.0,405.0,2960.0,0.0,5417.0,652.0,12.04
WEGOVY,4.0,35.0,123.0,815.0,90.0,2184.0,2011.0,14.0,5276.0,35.0,0.66
XELJANZ XR,2.0,86.0,47.0,517.0,24.0,3073.0,1489.0,5.0,5243.0,86.0,1.64
CABOMETYX,0.0,263.0,8.0,469.0,43.0,3375.0,1075.0,0.0,5233.0,263.0,5.03
IBRANCE,0.0,556.0,21.0,581.0,32.0,2401.0,1581.0,7.0,5179.0,556.0,10.74
TACROLIMUS,10.0,668.0,35.0,1571.0,422.0,449.0,1990.0,2.0,5147.0,668.0,12.98
XOLAIR,1.0,47.0,25.0,514.0,93.0,3419.0,982.0,5.0,5086.0,47.0,0.92
TYLENOL,5.0,46.0,5.0,49.0,10.0,3743.0,1123.0,0.0,4981.0,46.0,0.92
INFLIXIMAB,13.0,188.0,36.0,1280.0,135.0,103.0,2879.0,4.0,4638.0,188.0,4.05
OCREVUS,9.0,92.0,98.0,824.0,58.0,2242.0,1245.0,4.0,4572.0,92.0,2.01
BENLYSTA,1.0,32.0,8.0,206.0,17.0,2723.0,1511.0,43.0,4541.0,32.0,0.7
ATORVASTATIN,0.0,172.0,290.0,1056.0,270.0,177.0,2546.0,1.0,4512.0,172.0,3.81
FINASTERIDE,1.0,96.0,281.0,89.0,151.0,2905.0,895.0,2.0,4420.0,96.0,2.17
SIMPONI,2.0,64.0,4.0,733.0,22.0,1987.0,1603.0,4.0,4419.0,64.0,1.45
CLOZARIL,0.0,893.0,2.0,2349.0,56.0,19.0,1094.0,0.0,4413.0,893.0,20.24
TRULICITY,0.0,46.0,18.0,620.0,46.0,2923.0,682.0,4.0,4339.0,46.0,1.06
LEVETIRACETAM,199.0,179.0,48.0,930.0,292.0,665.0,1938.0,2.0,4253.0,179.0,4.21
CREON,2.0,396.0,10.0,1133.0,2.0,517.0,2151.0,0.0,4211.0,396.0,9.4
KEVZARA,1.0,78.0,33.0,207.0,22.0,3188.0,678.0,0.0,4207.0,78.0,1.85
HUMAN IMMUNOGLOBULIN G\HYALURONIDASE RECOMBINANT HUMAN,0.0,278.0,19.0,1786.0,42.0,558.0,1493.0,7.0,4183.0,278.0,6.65
KESIMPTA,16.0,66.0,62.0,688.0,96.0,1121.0,2108.0,5.0,4162.0,66.0,1.59
IBUPROFEN,17.0,179.0,12.0,1536.0,375.0,539.0,1500.0,1.0,4159.0,179.0,4.3
TYVASO,0.0,258.0,7.0,1223.0,36.0,2086.0,502.0,2.0,4114.0,258.0,6.27
CLOZAPINE,4.0,609.0,5.0,1365.0,324.0,482.0,1293.0,3.0,4085.0,609.0,14.91
ULTOMIRIS,1.0,394.0,15.0,1071.0,39.0,828.0,1666.0,4.0,4018.0,394.0,9.81
HUMALOG,2.0,28.0,23.0,343.0,21.0,3133.0,358.0,1.0,3909.0,28.0,0.72
INFLECTRA,3.0,61.0,18.0,1058.0,23.0,195.0,2537.0,3.0,3898.0,61.0,1.56
DEXAMETHASONE,1.0,497.0,37.0,945.0,375.0,76.0,1922.0,1.0,3854.0,497.0,12.9
STELARA,11.0,76.0,14.0,346.0,40.0,2512.0,843.0,8.0,3850.0,76.0,1.97
METFORMIN,16.0,400.0,47.0,1332.0,720.0,283.0,1013.0,1.0,3812.0,400.0,10.49
BEVACIZUMAB,0.0,728.0,21.0,719.0,138.0,180.0,1905.0,9.0,3700.0,728.0,19.68
CARBIDOPA\LEVODOPA,0.0,1222.0,19.0,1449.0,23.0,297.0,647.0,1.0,3658.0,1222.0,33.41
MIRENA,1.0,4.0,27.0,142.0,34.0,2753.0,610.0,2.0,3573.0,4.0,0.11
VENCLEXTA,0.0,1066.0,10.0,1186.0,13.0,168.0,1043.0,7.0,3493.0,1066.0,30.52
PLUVICTO,0.0,314.0,5.0,127.0,13.0,2716.0,303.0,0.0,3478.0,314.0,9.03
SERTRALINE,69.0,178.0,286.0,759.0,771.0,153.0,1237.0,3.0,3456.0,178.0,5.15
TYSABRI,6.0,143.0,4.0,855.0,38.0,1680.0,681.0,3.0,3410.0,143.0,4.19
OXALIPLATIN,6.0,347.0,28.0,1015.0,349.0,49.0,1587.0,7.0,3388.0,347.0,10.24
REMICADE,6.0,103.0,14.0,708.0,61.0,416.0,2011.0,10.0,3329.0,103.0,3.09
CERTOLIZUMAB PEGOL,7.0,77.0,11.0,588.0,30.0,90.0,2505.0,0.0,3308.0,77.0,2.33
OXERVATE,0.0,30.0,0.0,159.0,0.0,3048.0,69.0,1.0,3307.0,30.0,0.91
OSIMERTINIB,1.0,1331.0,7.0,598.0,27.0,15.0,1319.0,4.0,3302.0,1331.0,40.31
PARAGARD T 380A,0.0,3.0,5.0,67.0,8.0,493.0,2706.0,5.0,3287.0,3.0,0.09
EMGALITY,0.0,6.0,29.0,81.0,8.0,2944.0,208.0,1.0,3277.0,6.0,0.18
ENBREL,3.0,170.0,14.0,414.0,40.0,1816.0,779.0,22.0,3258.0,170.0,5.22
LENVIMA,0.0,214.0,29.0,2031.0,88.0,189.0,693.0,1.0,3245.0,214.0,6.59
TRELEGY ELLIPTA,0.0,151.0,11.0,348.0,5.0,2351.0,269.0,16.0,3151.0,151.0,4.79
PREGABALIN,16.0,351.0,102.0,887.0,241.0,253.0,1285.0,1.0,3136.0,351.0,11.19
ORENITRAM,0.0,76.0,0.0,746.0,31.0,1896.0,379.0,0.0,3128.0,76.0,2.43
OMNITROPE,0.0,12.0,6.0,95.0,2.0,2714.0,224.0,0.0,3053.0,12.0,0.39
GABAPENTIN,6.0,298.0,70.0,598.0,178.0,680.0,1141.0,3.0,2974.0,298.0,10.02
ALBUTEROL,4.0,82.0,3.0,190.0,69.0,2347.0,274.0,4.0,2973.0,82.0,2.76
XYWAV,0.0,16.0,22.0,776.0,24.0,78.0,2029.0,0.0,2945.0,16.0,0.54
PEMBROLIZUMAB,1.0,375.0,16.0,779.0,139.0,351.0,1276.0,1.0,2938.0,375.0,12.76
BOTOX,4.0,320.0,37.0,281.0,28.0,1753.0,503.0,5.0,2931.0,320.0,10.92
EPIDIOLEX,0.0,478.0,6.0,1795.0,22.0,62.0,564.0,2.0,2929.0,478.0,16.32
METHOTREXATE SODIUM,7.0,141.0,46.0,603.0,179.0,552.0,1370.0,0.0,2898.0,141.0,4.87
PROLIA,0.0,511.0,59.0,311.0,27.0,830.0,1122.0,12.0,2872.0,511.0,17.79
TALTZ,0.0,47.0,13.0,181.0,16.0,2239.0,338.0,6.0,2840.0,47.0,1.65
AMLODIPINE,8.0,258.0,79.0,620.0,504.0,90.0,1273.0,3.0,2835.0,258.0,9.1
BREZTRI,0.0,128.0,9.0,176.0,18.0,2111.0,373.0,2.0,2817.0,128.0,4.54
OLANZAPINE,25.0,199.0,78.0,948.0,397.0,184.0,982.0,4.0,2817.0,199.0,7.06
FILSPARI,0.0,15.0,0.0,180.0,1.0,2292.0,296.0,0.0,2784.0,15.0,0.54
XELJANZ,0.0,95.0,22.0,323.0,28.0,1380.0,928.0,0.0,2776.0,95.0,3.42
OPDIVO,0.0,567.0,11.0,686.0,183.0,521.0,789.0,3.0,2760.0,567.0,20.54
ACTEMRA,4.0,264.0,5.0,392.0,36.0,1190.0,856.0,2.0,2749.0,264.0,9.6
IMBRUVICA,0.0,455.0,5.0,857.0,43.0,99.0,1281.0,1.0,2741.0,455.0,16.6
DAYBUE,0.0,14.0,0.0,282.0,11.0,2023.0,403.0,0.0,2733.0,14.0,0.51
FOSCARBIDOPA\FOSLEVODOPA,0.0,469.0,17.0,1556.0,22.0,157.0,497.0,0.0,2718.0,469.0,17.26
OFEV,0.0,527.0,28.0,1039.0,54.0,444.0,566.0,15.0,2673.0,527.0,19.72
OTEZLA,0.0,58.0,3.0,202.0,7.0,1963.0,431.0,8.0,2672.0,58.0,2.17
PAXLOVID,0.0,36.0,19.0,109.0,45.0,2254.0,197.0,3.0,2663.0,36.0,1.35
KISQALI,0.0,303.0,28.0,502.0,142.0,539.0,1139.0,8.0,2661.0,303.0,11.39
PREDNISOLONE,4.0,316.0,48.0,710.0,172.0,105.0,1274.0,0.0,2629.0,316.0,12.02
VERZENIO,0.0,115.0,1.0,283.0,17.0,1811.0,383.0,3.0,2613.0,115.0,4.4
PACLITAXEL,5.0,184.0,28.0,784.0,270.0,57.0,1183.0,10.0,2521.0,184.0,7.3
BIMEKIZUMAB,0.0,27.0,17.0,577.0,28.0,105.0,1758.0,0.0,2512.0,27.0,1.07
AYVAKIT,0.0,49.0,1.0,201.0,1.0,1779.0,391.0,1.0,2423.0,49.0,2.02
SOLIRIS,1.0,418.0,6.0,778.0,37.0,289.0,890.0,1.0,2420.0,418.0,17.27
LUPKYNIS,0.0,9.0,2.0,144.0,0.0,2003.0,259.0,0.0,2417.0,9.0,0.37
ARIPIPRAZOLE,17.0,170.0,111.0,781.0,179.0,209.0,906.0,4.0,2377.0,170.0,7.15
FENFLURAMINE,7.0,0.0,12.0,1018.0,27.0,14.0,1295.0,0.0,2373.0,0.0,0.0
XOLAIR PFS,1.0,31.0,1.0,134.0,11.0,1896.0,299.0,0.0,2373.0,31.0,1.31
HEMLIBRA,0.0,99.0,6.0,405.0,20.0,1600.0,229.0,1.0,2360.0,99.0,4.19
CYCLOSPORINE,5.0,344.0,11.0,451.0,127.0,212.0,1206.0,1.0,2357.0,344.0,14.59
DURVALUMAB,0.0,939.0,5.0,366.0,104.0,37.0,902.0,0.0,2353.0,939.0,39.91
CONTRAVE,0.0,2.0,4.0,44.0,2.0,2130.0,167.0,1.0,2350.0,2.0,0.09
CYCLOPHOSPHAMIDE,7.0,371.0,16.0,848.0,213.0,56.0,829.0,1.0,2341.0,371.0,15.85
ESTRADIOL,3.0,5.0,34.0,67.0,17.0,1975.0,239.0,1.0,2341.0,5.0,0.21
APIXABAN,4.0,260.0,86.0,801.0,204.0,118.0,814.0,4.0,2291.0,260.0,11.35
JARDIANCE,1.0,103.0,23.0,623.0,158.0,895.0,417.0,7.0,2227.0,103.0,4.63
TRASTUZUMAB,5.0,224.0,35.0,567.0,77.0,26.0,1288.0,0.0,2222.0,224.0,10.08
ISOTRETINOIN,6.0,13.0,19.0,53.0,16.0,1530.0,566.0,0.0,2203.0,13.0,0.59
DEPO-PROVERA,0.0,10.0,20.0,102.0,30.0,186.0,1829.0,0.0,2177.0,10.0,0.46
ENHERTU,1.0,628.0,6.0,382.0,46.0,377.0,736.0,0.0,2176.0,628.0,28.86
IMFINZI,0.0,744.0,7.0,328.0,137.0,59.0,901.0,0.0,2176.0,744.0,34.19
BENRALIZUMAB,1.0,360.0,15.0,701.0,40.0,43.0,1009.0,3.0,2172.0,360.0,16.57
QUETIAPINE,35.0,230.0,53.0,706.0,318.0,52.0,745.0,1.0,2140.0,230.0,10.75
IDURSULFASE,0.0,148.0,31.0,1202.0,78.0,27.0,641.0,0.0,2127.0,148.0,6.96
VYEPTI,4.0,18.0,10.0,204.0,9.0,1382.0,493.0,2.0,2122.0,18.0,0.85
VUMERITY,0.0,81.0,1.0,395.0,22.0,1294.0,323.0,3.0,2119.0,81.0,3.82
FENTANYL,0.0,1162.0,4.0,263.0,129.0,187.0,357.0,2.0,2104.0,1162.0,55.23
TECENTRIQ,0.0,785.0,3.0,559.0,56.0,48.0,652.0,0.0,2103.0,785.0,37.33
NEULASTA,0.0,25.0,1.0,45.0,3.0,1960.0,47.0,0.0,2081.0,25.0,1.2
MAVENCLAD,12.0,28.0,13.0,390.0,13.0,527.0,1078.0,1.0,2062.0,28.0,1.36
ADVATE,0.0,11.0,4.0,609.0,13.0,27.0,1384.0,1.0,2049.0,11.0,0.54
OLAPARIB,0.0,478.0,6.0,354.0,21.0,21.0,1135.0,8.0,2023.0,478.0,23.63
CAPECITABINE,0.0,278.0,14.0,612.0,164.0,173.0,769.0,10.0,2020.0,278.0,13.76
TOLVAPTAN,0.0,232.0,1.0,321.0,14.0,796.0,652.0,2.0,2018.0,232.0,11.5
PONATINIB,0.0,271.0,4.0,951.0,21.0,176.0,591.0,0.0,2014.0,271.0,13.46
ROSUVASTATIN,0.0,36.0,106.0,389.0,142.0,156.0,1179.0,5.0,2013.0,36.0,1.79
EVENITY,0.0,82.0,27.0,520.0,34.0,740.0,605.0,4.0,2012.0,82.0,4.08
FASENRA,1.0,143.0,5.0,351.0,19.0,872.0,604.0,7.0,2002.0,143.0,7.14
VENETOCLAX,0.0,420.0,14.0,641.0,65.0,32.0,805.0,0.0,1977.0,420.0,21.24
ICATIBANT,0.0,12.0,17.0,845.0,187.0,125.0,761.0,27.0,1974.0,12.0,0.61
TAGRISSO,0.0,377.0,22.0,397.0,54.0,144.0,970.0,4.0,1968.0,377.0,19.16
ENTYVIO,6.0,43.0,10.0,255.0,26.0,890.0,732.0,2.0,1964.0,43.0,2.19
FRUQUINTINIB,0.0,722.0,9.0,425.0,14.0,10.0,781.0,0.0,1961.0,722.0,36.82
CARVYKTI,0.0,176.0,4.0,637.0,18.0,636.0,451.0,10.0,1932.0,176.0,9.11
VYNDAMAX,0.0,552.0,8.0,530.0,9.0,418.0,398.0,1.0,1916.0,552.0,28.81
TEZSPIRE,2.0,68.0,13.0,284.0,37.0,1002.0,455.0,16.0,1877.0,68.0,3.62
BUDESONIDE\FORMOTEROL\GLYCOPYRRONIUM,0.0,1186.0,5.0,141.0,18.0,77.0,429.0,2.0,1858.0,1186.0,63.83
XCOPRI,0.0,35.0,6.0,341.0,16.0,1274.0,169.0,0.0,1841.0,35.0,1.9
RISANKIZUMAB,2.0,9.0,2.0,186.0,10.0,1399.0,229.0,0.0,1837.0,9.0,0.49
ADBRY,0.0,27.0,4.0,100.0,7.0,1533.0,154.0,1.0,1826.0,27.0,1.48
ACALABRUTINIB,0.0,226.0,4.0,593.0,19.0,11.0,959.0,4.0,1816.0,226.0,12.44
CIPROFLOXACIN,0.0,75.0,158.0,528.0,97.0,114.0,807.0,9.0,1788.0,75.0,4.19
LANADELUMAB,0.0,43.0,8.0,965.0,62.0,140.0,563.0,0.0,1781.0,43.0,2.41
VENLAFAXINE,62.0,171.0,30.0,555.0,245.0,94.0,604.0,6.0,1767.0,171.0,9.68
ZOLEDRONIC ACID,8.0,78.0,100.0,391.0,56.0,46.0,1075.0,5.0,1759.0,78.0,4.43
DOXORUBICIN,1.0,284.0,3.0,417.0,133.0,35.0,882.0,0.0,1755.0,284.0,16.18
OPSUMIT,0.0,246.0,1.0,711.0,7.0,622.0,159.0,0.0,1746.0,246.0,14.09
VEVYE,0.0,0.0,1.0,2.0,0.0,1714.0,11.0,1.0,1729.0,0.0,0.0
BORTEZOMIB,0.0,227.0,3.0,317.0,95.0,22.0,1055.0,0.0,1719.0,227.0,13.21
TREPROSTINIL,0.0,264.0,0.0,900.0,17.0,126.0,399.0,0.0,1706.0,264.0,15.47
HIZENTRA,0.0,135.0,6.0,422.0,20.0,646.0,471.0,3.0,1703.0,135.0,7.93
BASAGLAR,0.0,8.0,16.0,102.0,2.0,1359.0,200.0,0.0,1687.0,8.0,0.47
VANCOMYCIN,1.0,295.0,0.0,550.0,195.0,147.0,496.0,3.0,1687.0,295.0,17.49
YERVOY,0.0,488.0,8.0,442.0,122.0,83.0,533.0,0.0,1676.0,488.0,29.12
DOCETAXEL,7.0,225.0,23.0,440.0,99.0,111.0,759.0,3.0,1667.0,225.0,13.5
AMBRISENTAN,0.0,252.0,5.0,811.0,13.0,316.0,261.0,8.0,1666.0,252.0,15.13
VOLTAREN ARTHRITIS PAIN,0.0,11.0,0.0,0.0,1.0,1641.0,6.0,0.0,1659.0,11.0,0.66
LAMOTRIGINE,48.0,124.0,23.0,582.0,192.0,132.0,545.0,4.0,1650.0,124.0,7.52
RAMIPRIL,9.0,25.0,18.0,194.0,87.0,1006.0,308.0,0.0,1647.0,25.0,1.52
LEQVIO,1.0,55.0,34.0,147.0,24.0,862.0,504.0,5.0,1632.0,55.0,3.37
LETROZOLE,1.0,89.0,31.0,320.0,73.0,59.0,1053.0,0.0,1626.0,89.0,5.47
MINOXIDIL,0.0,0.0,4.0,11.0,14.0,1514.0,75.0,2.0,1620.0,0.0,0.0
MEPOLIZUMAB,0.0,123.0,7.0,751.0,38.0,139.0,559.0,2.0,1619.0,123.0,7.6
GLASSIA,0.0,115.0,1.0,674.0,13.0,85.0,720.0,0.0,1608.0,115.0,7.15
PADCEV,0.0,305.0,9.0,379.0,38.0,202.0,672.0,0.0,1605.0,305.0,19.0
STRENSIQ,2.0,23.0,3.0,238.0,14.0,471.0,845.0,2.0,1598.0,23.0,1.44
DICLOFENAC,14.0,243.0,11.0,381.0,112.0,294.0,541.0,0.0,1596.0,243.0,15.23
VABYSMO,0.0,169.0,22.0,115.0,9.0,424.0,848.0,3.0,1590.0,169.0,10.63
MIRALAX,0.0,6.0,2.0,10.0,1.0,1509.0,50.0,0.0,1578.0,6.0,0.38
DOXYCYCLINE,2.0,91.0,29.0,366.0,85.0,225.0,767.0,4.0,1569.0,91.0,5.8
OMEPRAZOLE,10.0,76.0,40.0,501.0,76.0,248.0,613.0,4.0,1568.0,76.0,4.85
TAVNEOS,0.0,200.0,4.0,889.0,28.0,168.0,273.0,1.0,1563.0,200.0,12.8
FLUOROURACIL,3.0,121.0,14.0,607.0,112.0,154.0,541.0,2.0,1554.0,121.0,7.79
PALYNZIQ,0.0,5.0,0.0,73.0,38.0,1227.0,197.0,0.0,1540.0,5.0,0.32
CITALOPRAM,22.0,772.0,77.0,188.0,116.0,43.0,314.0,0.0,1532.0,772.0,50.39
OXYCODONE HYDROCHLORIDE,0.0,354.0,17.0,171.0,64.0,562.0,360.0,0.0,1528.0,354.0,23.17
CLOPIDOGREL,0.0,163.0,36.0,427.0,151.0,130.0,620.0,0.0,1527.0,163.0,10.67
TRAMADOL,4.0,295.0,9.0,437.0,126.0,59.0,588.0,1.0,1519.0,295.0,19.42
COBENFY,0.0,19.0,2.0,121.0,9.0,1171.0,196.0,0.0,1518.0,19.0,1.25
AIMOVIG,4.0,77.0,20.0,134.0,14.0,980.0,284.0,3.0,1516.0,77.0,5.08
RUXIENCE,2.0,102.0,14.0,367.0,27.0,52.0,949.0,3.0,1516.0,102.0,6.73
GEMTESA,0.0,91.0,1.0,76.0,1.0,1152.0,177.0,2.0,1500.0,91.0,6.07
LEQEMBI,0.0,71.0,4.0,421.0,8.0,765.0,225.0,4.0,1498.0,71.0,4.74
HYRIMOZ,2.0,71.0,18.0,208.0,20.0,606.0,569.0,2.0,1496.0,71.0,4.75
PANTOPRAZOLE,15.0,119.0,7.0,589.0,160.0,64.0,539.0,1.0,1494.0,119.0,7.97
AZITHROMYCIN,6.0,114.0,12.0,450.0,116.0,189.0,602.0,2.0,1491.0,114.0,7.65
CABENUVA,0.0,28.0,4.0,68.0,8.0,1089.0,273.0,7.0,1477.0,28.0,1.9
ENTRESTO,0.0,130.0,16.0,367.0,48.0,212.0,697.0,0.0,1470.0,130.0,8.84
SYMBICORT,6.0,20.0,6.0,204.0,52.0,744.0,428.0,6.0,1466.0,20.0,1.36
GEMCITABINE,0.0,194.0,2.0,252.0,83.0,109.0,825.0,0.0,1465.0,194.0,13.24
FULVESTRANT,0.0,205.0,5.0,295.0,65.0,30.0,856.0,0.0,1456.0,205.0,14.08
RUXOLITINIB,2.0,223.0,3.0,328.0,119.0,17.0,760.0,0.0,1452.0,223.0,15.36
KISUNLA,0.0,32.0,2.0,143.0,25.0,730.0,506.0,7.0,1445.0,32.0,2.21
CAMZYOS,0.0,42.0,3.0,157.0,19.0,933.0,262.0,0.0,1416.0,42.0,2.97
AMOXICILLIN,1.0,35.0,14.0,501.0,101.0,140.0,619.0,4.0,1415.0,35.0,2.47
VYALEV,0.0,110.0,1.0,485.0,4.0,557.0,245.0,0.0,1402.0,110.0,7.85
XARELTO,2.0,82.0,11.0,392.0,59.0,317.0,532.0,1.0,1396.0,82.0,5.87
IXAZOMIB,0.0,297.0,3.0,517.0,7.0,55.0,514.0,0.0,1393.0,297.0,21.32
TRUVADA,1.0,7.0,5.0,36.0,3.0,291.0,1045.0,0.0,1388.0,7.0,0.5
ALPRAZOLAM,1.0,275.0,9.0,454.0,147.0,134.0,367.0,0.0,1387.0,275.0,19.83
VELAGLUCERASE ALFA,4.0,66.0,29.0,782.0,22.0,51.0,429.0,0.0,1383.0,66.0,4.77
AVASTIN,1.0,390.0,24.0,242.0,17.0,253.0,455.0,1.0,1383.0,390.0,28.2
CAPLYTA,0.0,13.0,5.0,62.0,0.0,1060.0,241.0,0.0,1381.0,13.0,0.94
TRIKAFTA,8.0,35.0,6.0,276.0,14.0,784.0,251.0,1.0,1375.0,35.0,2.55
UBLITUXIMAB,0.0,11.0,1.0,143.0,1.0,1104.0,104.0,0.0,1364.0,11.0,0.81
INVEGA SUSTENNA,0.0,17.0,5.0,245.0,15.0,855.0,219.0,2.0,1358.0,17.0,1.25
AVONEX,1.0,52.0,5.0,360.0,9.0,662.0,252.0,2.0,1343.0,52.0,3.87
