pt,Congenital Anomaly,Death,Disability,Hospitalization,Life-Threatening,No Outcome Reported,Other Serious,Required Intervention,total
Off label use,28.0,7964.0,615.0,18795.0,3042.0,41436.0,35938.0,7.0,107825.0
Drug ineffective,5.0,5249.0,448.0,10709.0,2705.0,43545.0,22520.0,68.0,85249.0
Fatigue,4.0,2834.0,1128.0,11090.0,1252.0,25222.0,19853.0,93.0,61476.0
Product dose omission issue,1.0,609.0,119.0,6988.0,228.0,39762.0,8370.0,17.0,56094.0
Nausea,1.0,2410.0,620.0,12450.0,1601.0,22326.0,15814.0,119.0,55341.0
Death,0.0,53742.0,1.0,21.0,18.0,934.0,25.0,0.0,54741.0
Diarrhoea,1.0,3042.0,497.0,13021.0,1207.0,19377.0,15527.0,77.0,52749.0
Headache,4.0,1932.0,677.0,7946.0,1027.0,18404.0,12769.0,69.0,42828.0
Pruritus,2.0,1094.0,386.0,3875.0,682.0,26108.0,8289.0,122.0,40558.0
Dyspnoea,8.0,2918.0,379.0,11096.0,1883.0,12769.0,10712.0,119.0,39884.0
Pain,4.0,2134.0,884.0,7816.0,973.0,14027.0,12713.0,76.0,38627.0
Arthralgia,10.0,1661.0,940.0,5924.0,573.0,15550.0,11987.0,74.0,36719.0
Rash,3.0,2082.0,302.0,4877.0,856.0,20175.0,8160.0,129.0,36584.0
Vomiting,7.0,2596.0,310.0,11389.0,1738.0,10027.0,9566.0,62.0,35695.0
Condition aggravated,10.0,2920.0,329.0,6485.0,1020.0,13231.0,10643.0,20.0,34658.0
Dizziness,8.0,1542.0,667.0,7130.0,963.0,12883.0,10370.0,84.0,33647.0
Injection site pain,0.0,90.0,86.0,1469.0,81.0,26102.0,3306.0,20.0,31154.0
Inappropriate schedule of product administration,3.0,696.0,142.0,5280.0,293.0,16124.0,8217.0,16.0,30771.0
Product use in unapproved indication,5.0,2184.0,156.0,3569.0,757.0,18685.0,5350.0,13.0,30719.0
Incorrect dose administered,0.0,287.0,52.0,1921.0,163.0,24940.0,2775.0,16.0,30154.0
Pneumonia,2.0,4581.0,54.0,12885.0,1133.0,628.0,8221.0,14.0,27518.0
Malaise,4.0,2023.0,301.0,7568.0,909.0,7752.0,8856.0,32.0,27445.0
Asthenia,2.0,2496.0,450.0,8228.0,969.0,6667.0,7877.0,35.0,26724.0
Pyrexia,3.0,2640.0,228.0,10014.0,1361.0,3987.0,7048.0,34.0,25315.0
Cough,4.0,761.0,186.0,5777.0,618.0,9546.0,7492.0,34.0,24418.0
Fall,4.0,1687.0,266.0,11250.0,623.0,3197.0,6864.0,26.0,23917.0
Weight decreased,1.0,1317.0,234.0,6519.0,512.0,5396.0,6982.0,17.0,20978.0
Illness,2.0,486.0,179.0,4812.0,298.0,9848.0,4746.0,14.0,20385.0
Constipation,0.0,660.0,191.0,4742.0,300.0,7630.0,6157.0,32.0,19712.0
Decreased appetite,3.0,2034.0,229.0,5576.0,612.0,5227.0,5442.0,18.0,19141.0
Weight increased,7.0,1520.0,267.0,3370.0,400.0,7575.0,5248.0,14.0,18401.0
Pain in extremity,1.0,1286.0,528.0,3991.0,495.0,5906.0,6125.0,41.0,18373.0
Abdominal pain,1.0,1248.0,192.0,6538.0,647.0,2724.0,6967.0,19.0,18336.0
Nasopharyngitis,7.0,1368.0,145.0,3463.0,400.0,6952.0,5418.0,12.0,17765.0
Dermatitis atopic,0.0,18.0,16.0,348.0,4.0,16428.0,555.0,0.0,17369.0
Product use issue,0.0,1450.0,107.0,3220.0,495.0,7680.0,4295.0,20.0,17267.0
COVID-19,4.0,1049.0,85.0,5747.0,368.0,4723.0,5187.0,5.0,17168.0
Wrong technique in product usage process,0.0,204.0,58.0,1256.0,97.0,13398.0,2036.0,9.0,17058.0
Anxiety,6.0,889.0,845.0,3221.0,716.0,4937.0,6325.0,64.0,17003.0
No adverse event,1.0,105.0,1.0,68.0,9.0,16241.0,258.0,1.0,16684.0
Insomnia,5.0,1151.0,529.0,2690.0,512.0,6242.0,4931.0,49.0,16109.0
Drug dose omission by device,0.0,17.0,19.0,341.0,53.0,14920.0,741.0,3.0,16094.0
Abdominal pain upper,0.0,1393.0,172.0,3709.0,421.0,5913.0,4311.0,32.0,15951.0
Hypertension,2.0,2111.0,161.0,4112.0,833.0,2569.0,5957.0,26.0,15771.0
Back pain,2.0,527.0,277.0,3707.0,328.0,5068.0,5574.0,39.0,15522.0
Asthma,10.0,939.0,67.0,3281.0,384.0,6841.0,3258.0,22.0,14802.0
Urinary tract infection,1.0,755.0,74.0,6338.0,332.0,3156.0,3780.0,12.0,14448.0
Erythema,3.0,307.0,95.0,2505.0,479.0,6917.0,4061.0,49.0,14416.0
Hospitalisation,0.0,802.0,0.0,12771.0,336.0,437.0,49.0,1.0,14396.0
Urticaria,1.0,1253.0,119.0,1626.0,546.0,6463.0,4095.0,79.0,14182.0
Peripheral swelling,1.0,1475.0,249.0,3333.0,360.0,4594.0,3791.0,37.0,13840.0
Somnolence,3.0,610.0,201.0,3001.0,827.0,5006.0,4047.0,11.0,13706.0
Toxicity to various agents,2.0,4079.0,46.0,3818.0,2299.0,732.0,2267.0,10.0,13253.0
Infection,2.0,2350.0,91.0,4762.0,443.0,2337.0,3258.0,8.0,13251.0
Abdominal discomfort,3.0,1396.0,170.0,2332.0,355.0,5622.0,3290.0,17.0,13185.0
Accidental exposure to product,0.0,92.0,13.0,331.0,44.0,12065.0,586.0,3.0,13134.0
Hypersensitivity,0.0,1357.0,113.0,2057.0,601.0,5239.0,3497.0,48.0,12912.0
Hypotension,1.0,1154.0,74.0,4731.0,1849.0,1694.0,3353.0,30.0,12886.0
Influenza,2.0,381.0,66.0,4169.0,311.0,4085.0,3768.0,15.0,12797.0
Therapy interrupted,0.0,198.0,79.0,2996.0,114.0,6594.0,2399.0,60.0,12440.0
Anaemia,3.0,1340.0,39.0,4631.0,860.0,931.0,4510.0,16.0,12330.0
Alopecia,1.0,1404.0,286.0,1409.0,380.0,5551.0,3238.0,30.0,12299.0
Acute kidney injury,1.0,1535.0,31.0,5768.0,2078.0,35.0,2819.0,6.0,12273.0
Feeling abnormal,1.0,151.0,160.0,2004.0,355.0,5953.0,3578.0,24.0,12226.0
Gait disturbance,5.0,768.0,484.0,3272.0,401.0,3217.0,3797.0,34.0,11978.0
General physical health deterioration,3.0,2926.0,132.0,2541.0,540.0,3907.0,1890.0,4.0,11943.0
Seizure,3.0,667.0,75.0,4309.0,686.0,574.0,5562.0,15.0,11891.0
Muscle spasms,1.0,1013.0,322.0,1782.0,309.0,4475.0,3932.0,28.0,11862.0
Depression,2.0,1168.0,491.0,2176.0,596.0,3054.0,4217.0,34.0,11738.0
Product storage error,0.0,34.0,19.0,460.0,29.0,10332.0,728.0,2.0,11604.0
Dry skin,1.0,77.0,114.0,813.0,102.0,8676.0,1756.0,5.0,11544.0
Neutropenia,0.0,1199.0,22.0,2482.0,893.0,218.0,6624.0,15.0,11453.0
Blood pressure increased,2.0,317.0,100.0,2975.0,439.0,3016.0,4390.0,32.0,11271.0
Myalgia,0.0,207.0,433.0,1833.0,220.0,4318.0,4051.0,35.0,11097.0
Drug hypersensitivity,1.0,1338.0,45.0,1881.0,486.0,4573.0,2725.0,31.0,11080.0
Eczema,0.0,32.0,37.0,689.0,45.0,9150.0,1105.0,10.0,11068.0
Chest pain,2.0,1035.0,117.0,3578.0,496.0,2443.0,3267.0,36.0,10974.0
Intentional product use issue,11.0,1833.0,89.0,2135.0,378.0,1804.0,4322.0,0.0,10572.0
Gastrointestinal disorder,4.0,1248.0,127.0,2584.0,416.0,3172.0,2940.0,14.0,10505.0
Joint swelling,0.0,1476.0,222.0,1492.0,319.0,4015.0,2906.0,14.0,10444.0
Maternal exposure during pregnancy,373.0,1548.0,60.0,1276.0,374.0,2781.0,3953.0,0.0,10365.0
Confusional state,0.0,1688.0,219.0,3166.0,769.0,1701.0,2654.0,15.0,10212.0
Visual impairment,2.0,480.0,333.0,1323.0,198.0,4397.0,3431.0,23.0,10187.0
Haemorrhage,0.0,396.0,58.0,2041.0,245.0,4900.0,2474.0,6.0,10120.0
Device issue,0.0,54.0,20.0,836.0,45.0,8043.0,1080.0,6.0,10084.0
Hypoaesthesia,2.0,1522.0,298.0,2017.0,389.0,2579.0,3164.0,32.0,10003.0
Drug interaction,1.0,749.0,94.0,3597.0,1216.0,1054.0,3224.0,8.0,9943.0
Vision blurred,1.0,146.0,274.0,1226.0,169.0,4996.0,2909.0,39.0,9760.0
Blood glucose increased,0.0,158.0,82.0,1810.0,194.0,5296.0,2064.0,7.0,9611.0
Overdose,5.0,1584.0,82.0,2935.0,1113.0,1517.0,2263.0,10.0,9509.0
Hot flush,0.0,70.0,65.0,746.0,58.0,6590.0,1934.0,9.0,9472.0
Tremor,6.0,233.0,232.0,2508.0,369.0,3010.0,3065.0,29.0,9452.0
Rheumatoid arthritis,0.0,1575.0,138.0,1267.0,407.0,813.0,5180.0,2.0,9382.0
Memory impairment,1.0,997.0,266.0,1742.0,327.0,2969.0,2951.0,10.0,9263.0
Malignant neoplasm progression,1.0,2568.0,17.0,1121.0,188.0,53.0,5227.0,1.0,9176.0
Adverse drug reaction,0.0,517.0,49.0,825.0,127.0,6208.0,1328.0,24.0,9078.0
Paraesthesia,1.0,920.0,293.0,1541.0,259.0,2823.0,3092.0,39.0,8968.0
Disease progression,0.0,2449.0,45.0,1040.0,211.0,658.0,4489.0,5.0,8897.0
Sinusitis,2.0,819.0,101.0,1915.0,294.0,2869.0,2811.0,12.0,8823.0
Myelosuppression,2.0,300.0,128.0,3779.0,612.0,13.0,3802.0,2.0,8638.0
Device delivery system issue,0.0,17.0,4.0,174.0,23.0,7980.0,387.0,3.0,8588.0
Neuropathy peripheral,1.0,254.0,207.0,1229.0,144.0,450.0,6258.0,29.0,8572.0
Injection site erythema,0.0,23.0,16.0,560.0,27.0,6826.0,1027.0,6.0,8485.0
Thrombocytopenia,2.0,1391.0,20.0,2164.0,831.0,103.0,3917.0,10.0,8438.0
Abdominal distension,0.0,690.0,118.0,1909.0,171.0,2805.0,2725.0,15.0,8433.0
Dehydration,1.0,439.0,52.0,4668.0,363.0,1240.0,1549.0,11.0,8323.0
Exposure via skin contact,0.0,18.0,3.0,142.0,0.0,7913.0,241.0,0.0,8317.0
Psoriasis,0.0,464.0,65.0,1020.0,194.0,3662.0,2881.0,6.0,8292.0
Migraine,0.0,812.0,185.0,1365.0,263.0,3140.0,2450.0,19.0,8234.0
Cerebrovascular accident,0.0,686.0,120.0,3043.0,510.0,102.0,3748.0,9.0,8218.0
Drug intolerance,2.0,1479.0,90.0,1189.0,377.0,2568.0,2457.0,6.0,8168.0
Therapeutic product effect incomplete,5.0,731.0,43.0,1335.0,232.0,3076.0,2645.0,6.0,8073.0
Loss of consciousness,1.0,584.0,57.0,2795.0,863.0,135.0,3568.0,15.0,8018.0
Dyspepsia,3.0,953.0,96.0,1585.0,267.0,2882.0,2214.0,7.0,8007.0
Treatment failure,0.0,1246.0,40.0,777.0,311.0,3351.0,2243.0,4.0,7972.0
Muscular weakness,1.0,1041.0,333.0,2006.0,455.0,1681.0,2344.0,14.0,7875.0
Chest discomfort,0.0,86.0,83.0,1936.0,432.0,2247.0,3022.0,39.0,7845.0
White blood cell count decreased,1.0,363.0,83.0,2227.0,408.0,1995.0,2749.0,8.0,7834.0
Crohn's disease,0.0,479.0,33.0,2119.0,56.0,243.0,4885.0,4.0,7819.0
Device malfunction,0.0,24.0,16.0,317.0,49.0,6726.0,597.0,8.0,7737.0
Sepsis,1.0,2473.0,10.0,3623.0,573.0,54.0,930.0,4.0,7668.0
Oropharyngeal pain,4.0,103.0,87.0,1744.0,155.0,2776.0,2758.0,10.0,7637.0
Device leakage,0.0,17.0,1.0,249.0,13.0,6929.0,423.0,4.0,7636.0
Infusion related reaction,0.0,1575.0,71.0,1479.0,474.0,1604.0,2264.0,155.0,7622.0
Hyperhidrosis,0.0,232.0,137.0,1543.0,416.0,2471.0,2743.0,30.0,7572.0
Product dose omission in error,0.0,22.0,13.0,754.0,29.0,5647.0,1076.0,1.0,7542.0
Chills,2.0,237.0,104.0,2117.0,338.0,2130.0,2575.0,26.0,7529.0
Contusion,0.0,931.0,120.0,1600.0,228.0,2436.0,2163.0,10.0,7488.0
Palpitations,0.0,81.0,182.0,1514.0,348.0,2412.0,2853.0,29.0,7419.0
