drugname,pt,count
ACALABRUTINIB,Death,266
ACALABRUTINIB,Product dose omission issue,195
ACALABRUTINIB,Fall,174
ACALABRUTINIB,Fatigue,159
ACALABRUTINIB,Neuropathy peripheral,98
ACALABRUTINIB,Asthenia,88
ACALABRUTINIB,Dyspnoea,84
ACALABRUTINIB,Pneumonia,78
ACALABRUTINIB,Dizziness,74
ACALABRUTINIB,Diarrhoea,69
ACETAMINOPHEN,Toxicity to various agents,2114
ACETAMINOPHEN,Overdose,1095
ACETAMINOPHEN,Intentional overdose,1063
ACETAMINOPHEN,Acute hepatic failure,667
ACETAMINOPHEN,Vomiting,570
ACETAMINOPHEN,Suicide attempt,475
ACETAMINOPHEN,Liver injury,429
ACETAMINOPHEN,Completed suicide,398
ACETAMINOPHEN,Drug ineffective,373
ACETAMINOPHEN,Abdominal pain,355
ACOLTREMON,Eye irritation,687
ACOLTREMON,Eye pain,255
ACOLTREMON,Drug ineffective,207
ACOLTREMON,Vision blurred,109
ACOLTREMON,Ocular hyperaemia,89
ACOLTREMON,Ocular discomfort,70
ACOLTREMON,Eye pruritus,48
ACOLTREMON,Lacrimation increased,42
ACOLTREMON,Headache,41
ACOLTREMON,Dry eye,39
ACTEMRA,Weight increased,586
ACTEMRA,Off label use,575
ACTEMRA,Weight decreased,519
ACTEMRA,Arthralgia,509
ACTEMRA,Pain,473
ACTEMRA,Nasopharyngitis,449
ACTEMRA,No adverse event,435
ACTEMRA,Drug ineffective,415
ACTEMRA,Rheumatoid arthritis,411
ACTEMRA,Oxygen saturation decreased,334
ACTEMRA ACTPEN,No adverse event,235
ACTEMRA ACTPEN,Off label use,143
ACTEMRA ACTPEN,Drug ineffective,116
ACTEMRA ACTPEN,Arthralgia,105
ACTEMRA ACTPEN,Pain,84
ACTEMRA ACTPEN,Joint swelling,79
ACTEMRA ACTPEN,Rheumatoid arthritis,61
ACTEMRA ACTPEN,Product dose omission issue,60
ACTEMRA ACTPEN,Death,51
ACTEMRA ACTPEN,Fatigue,43
ADALIMUMAB,Off label use,931
ADALIMUMAB,Drug ineffective,661
ADALIMUMAB,Intentional product use issue,529
ADALIMUMAB,Fatigue,474
ADALIMUMAB,Arthralgia,400
ADALIMUMAB,Crohn's disease,387
ADALIMUMAB,Condition aggravated,383
ADALIMUMAB,Systemic lupus erythematosus,376
ADALIMUMAB,Pain,372
ADALIMUMAB,Diarrhoea,367
ADBRY,Dermatitis atopic,373
ADBRY,Drug ineffective,264
ADBRY,Pruritus,175
ADBRY,Injection site pain,126
ADBRY,Rash,123
ADBRY,Injection site erythema,82
ADBRY,Injection site swelling,79
ADBRY,Eczema,77
ADBRY,Injection site pruritus,73
ADBRY,Erythema,62
ADEMPAS,Death,287
ADEMPAS,Dizziness,127
ADEMPAS,Hypotension,106
ADEMPAS,Dyspnoea,102
ADEMPAS,Headache,94
ADEMPAS,Fatigue,88
ADEMPAS,Nausea,76
ADEMPAS,Peripheral swelling,66
ADEMPAS,Diarrhoea,57
ADEMPAS,Fall,57
ADVATE,Haemarthrosis,2083
ADVATE,Haemorrhage,1806
ADVATE,Fall,1152
ADVATE,Limb injury,937
ADVATE,Joint injury,881
ADVATE,Muscle haemorrhage,847
ADVATE,Contusion,805
ADVATE,Arthralgia,795
ADVATE,Head injury,671
ADVATE,Joint swelling,534
AIMOVIG,Device difficult to use,780
AIMOVIG,Drug dose omission by device,660
AIMOVIG,Migraine,389
AIMOVIG,Accidental exposure to product,337
AIMOVIG,Headache,251
AIMOVIG,Wrong technique in product usage process,247
AIMOVIG,Injection site pain,171
AIMOVIG,Device use error,166
AIMOVIG,Off label use,119
AIMOVIG,Therapy interrupted,111
AJOVY,Injection site pain,171
AJOVY,Migraine,159
